"Amazon Freebie","http://www.amazon.com/dp/B004G2LUXO/","Daily Item Not found","?","N",,"N",,
"Amazon Gold Box","http://www.amazon.com/gp/goldbox","Done","?","N",,"Y","https://affiliate-program.amazon.com/join?ld=AZAssocMakeM",
"Amazon MP3","http://www.amazon.com/MP3-Music-Download/b/ref=topnav_storetab_dmusic?ie=UTF8&node=163856011","Daily Item Not found","?","N",,"Y","https://affiliate-program.amazon.com/join?ld=AZAssocMakeM",
"Amazon Video Game","http://www.amazon.com/gp/feature.html/ref=amb_link_85826191_2?ie=UTF8&docId=1000208101&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=right-blog-0&pf_rd_r=1839MMT7K9ZBZ5PT4YEE&pf_rd_t=101&pf_rd_p=1277833802&pf_rd_i=468642","Hard to be Parsed","?","N",,"Y","https://affiliate-program.amazon.com/join?ld=AZAssocMakeM",
"American Musical Supply","http://www.americanmusical.com/RSS_Feeds/Ndnd.aspx","Done","?","Y","http://www.americanmusical.com/RSS_Feeds/ndndfeed.xml","Y","http://www.americanmusical.com/content--name-Affiliate-Program",
"Animal Rescue","https://www.theanimalrescuesite.com/store/item.do?siteId=310&ddSourceId=31841&ddSourceClass=Item","Daily item link always changing","Household","N",,"N",,
"AnimeBug","http://www.animebug.com/","Site not found","Clothing / Jewelry","Y","http://www.animebug.com/dealrss.php","N",,
"Anita's Arts","http://www.anitasarts.com/specials.html","Daily Item Not found","?","N",,"N",,
"Another Smokin' Deal","http://anothersmokingdeal.com/","Done","Outdoors / Sports","Y","http://feeds.feedburner.com/AnotherSmokinDeal","N",,
"Apple DOD","http://appledod.com/","Done","Electronics / Computers","N",,"N",,
"Apress","http://www.apress.com/info/dailydeal","Done","Household","N",,"N",,
"ATG Stores","http://www.atgstores.com/dailyDeals/","Done","Household","N",,"Y","http://www.atgstores.com/affiliates/","Multiple deals - see site"
"Augason Farms","http://www.augasonfarms.com/dealofday","Not enough info on the page","?","N",,"N",,
"AwesomeDeals911","http://www.awesomedeals911.com/Store/Tab.aspx?tabid=1","Site not found","?","N",,"N",,
"azulio","http://www.azulio.com/dailydeal/","Done","Household","N",,"Y","http://www.shareasale.com/shareasale.cfm?merchantID=26041",
"Babs Beads","http://babsbeadwarehouse.dodshops.com/",,"Clothing / Jewelry","N",,"N",,
"Baby Age","http://www.babyage.com/deal_of_the_day.aspx",,"Household","N",,"Y","http://www.babyage.com/babyageaffiliates.htm",
"Baby Half Off","http://www.babyhalfoff.com/",,"Clothing / Jewelry","N",,"N",,
"Baby Steals","http://www.babysteals.com/",,"Clothing / Jewelry","Y","http://www.babysteals.com/feed/atom.xml","N",,
"Back To Basics Toys","http://www.backtobasicstoys.com/item/productid/dealoftheday/",,"Household","N",,"Y","http://www.backtobasicstoys.com/affiliates.aspx",
"Ballistic Reload","http://www.ballisticreload.com/",,"Outdoors / Sports","Y","http://www.ballisticreload.com/feeds/rss.php","Y","http://www.ballisticreload.com/affiliates.php",
"Bargain Bags Daily","http://bargainbagsdaily.com/",,"?","Y","http://feeds.feedburner.com/BargainBagsDailyRssFeed","N",,
